,symbol,name
84,SH600064,南京高科
85,SH600695,绿庭投资
86,SH600513,联环药业
87,SH600908,无锡银行
88,SH600637,东方明珠
89,SH600062,华润双鹤
0,SH601077,渝农商行
1,SH600984,建设机械
2,SH600153,建发股份
3,SH600712,南宁百货
4,SH601618,中国中冶
5,SH600635,大众公用
6,SH600015,华夏银行
7,SH600221,海航控股
8,SH600372,中航电子
9,SH603466,风语筑
10,SH600315,上海家化
11,SH600609,金杯汽车
12,SH601208,东材科技
13,SH600390,五矿资本
14,SH600312,平高电气
15,SH603079,圣达生物
16,SH600622,光大嘉宝
17,SH603613,国联股份
18,SH601827,三峰环境
19,SH601298,青岛港
20,SH601229,上海银行
21,SH601985,中国核电
22,SH603003,龙宇燃油
23,SH603027,千禾味业
24,SH600517,国网英大
25,SH600850,华东电脑
26,SH603559,中通国脉
27,SH601100,恒立液压
28,SH603777,来伊份
29,SH603108,润达医疗
30,SH601615,明阳智能
31,SH600998,九州通
32,SH600754,锦江酒店
33,SH603233,大参林
34,SH600562,国睿科技
35,SH600219,南山铝业
36,SH600783,鲁信创投
37,SH600496,精工钢构
38,SH600594,益佰制药
39,SH600839,四川长虹
40,SH600066,宇通客车
41,SH601137,博威合金
42,SH600556,天下秀
43,SH601225,陕西煤业
44,SH603105,芯能科技
45,SH601975,招商南油
46,SH600886,国投电力
47,SH601880,大连港
48,SH603283,赛腾股份
49,SH601117,中国化学
50,SH601233,桐昆股份
51,SH603588,高能环境
52,SH600811,东方集团
53,SH603236,移远通信
54,SH600765,中航重机
55,SH600456,宝钛股份
56,SH600523,贵航股份
57,SH600737,中粮糖业
58,SH601011,宝泰隆
59,SH603232,格尔软件
60,SH600230,沧州大化
61,SH603118,共进股份
62,SH600861,北京城乡
63,SH600114,东睦股份
64,SH601006,大秦铁路
65,SH600108,亚盛集团
66,SH600467,好当家
67,SH603939,益丰药房
68,SH600233,圆通速递
69,SH601038,一拖股份
70,SH600373,中文传媒
71,SH600624,复旦复华
72,SH603517,绝味食品
73,SH600668,尖峰集团
74,SH601997,贵阳银行
75,SH600732,爱旭股份
76,SH600507,方大特钢
77,SH601718,际华集团
78,SH603229,奥翔药业
79,SH601058,赛轮轮胎
80,SH600676,交运股份
81,SH601777,力帆股份
82,SH603239,浙江仙通
83,SH603801,志邦家居
84,SH600325,华发股份
85,SH601908,京运通
86,SH603197,保隆科技
87,SH603338,浙江鼎力
88,SH601838,成都银行
89,SH603712,七一二
0,SH603688,石英股份
1,SH601222,林洋能源
2,SH600550,保变电气
3,SH600258,首旅酒店
4,SH600926,杭州银行
5,SH603636,南威软件
6,SH600797,浙大网新
7,SH600093,易见股份
8,SH603713,密尔克卫
9,SH600751,海航科技
10,SH603825,华扬联众
11,SH600070,浙江富润
12,SH600966,博汇纸业
13,SH600755,厦门国贸
14,SH600875,东方电气
15,SH603596,伯特利
16,SH601860,紫金银行
17,SH603983,丸美股份
18,SH600777,新潮能源
19,SH603289,泰瑞机器
20,SH600053,九鼎投资
21,SH603308,应流股份
22,SH600838,上海九百
23,SH603189,网达软件
24,SH603368,柳药股份
25,SH600567,山鹰纸业
26,SH603920,世运电路
27,SH603328,依顿电子
28,SH601808,中海油服
29,SH601216,君正集团
30,SH603103,横店影视
31,SH600057,厦门象屿
32,SH601608,中信重工
33,SH600199,金种子酒
34,SH603113,金能科技
35,SH600025,华能水电
36,SH600100,同方股份
37,SH600157,永泰能源
38,SH603317,天味食品
39,SH601700,风范股份
40,SH603109,神驰机电
41,SH601106,中国一重
42,SH600771,广誉远
43,SH603212,赛伍技术
44,SH601021,春秋航空
45,SH600110,诺德股份
46,SH600482,中国动力
47,SH603499,翔港科技
48,SH600601,方正科技
49,SH603267,鸿远电子
50,SH601633,长城汽车
51,SH600532,宏达矿业
52,SH601001,大同煤业
53,SH603960,克来机电
54,SH603186,华正新材
55,SH600551,时代出版
56,SH600059,古越龙山
57,SH600393,粤泰股份
58,SH601595,上海电影
59,SH603927,中科软
60,SH603218,日月股份
61,SH600733,北汽蓝谷
62,SH600115,东方航空
63,SH600366,宁波韵升
64,SH603887,城地股份
65,SH600060,海信视像
66,SH600132,重庆啤酒
67,SH600814,杭州解百
68,SH600831,广电网络
69,SH603655,朗博科技
70,SH600782,新钢股份
71,SH603383,顶点软件
72,SH601998,中信银行
73,SH600750,江中药业
74,SH600343,航天动力
75,SH601699,潞安环能
76,SH605166,聚合顺
77,SH603833,欧派家居
78,SH603890,春秋电子
79,SH600297,广汇汽车
80,SH600466,蓝光发展
81,SH603806,福斯特
82,SH600222,太龙药业
83,SH603985,恒润股份
84,SH603990,麦迪科技
85,SH600820,隧道股份
86,SH600808,马钢股份
87,SH603568,伟明环保
88,SH600707,彩虹股份
89,SH603879,永悦科技
0,SH601199,江南水务
1,SH603456,九洲药业
2,SH603318,派思股份
3,SH601567,三星医疗
4,SH600329,中新药业
5,SH601717,郑煤机
6,SH600658,电子城
7,SH600756,浪潮软件
8,SH603950,长源东谷
9,SH603697,有友食品
10,SH601200,上海环境
11,SH601799,星宇股份
12,SH600901,江苏租赁
13,SH600363,联创光电
14,SH603949,雪龙集团
15,SH603708,家家悦
16,SH603043,广州酒家
17,SH601212,白银有色
18,SH600420,现代制药
19,SH600882,妙可蓝多
20,SH600210,紫江企业
21,SH600177,雅戈尔
22,SH600587,新华医疗
23,SH600200,江苏吴中
24,SH600480,凌云股份
25,SH603566,普莱柯
26,SH603106,恒银金融
27,SH603885,吉祥航空
28,SH603360,百傲化学
29,SH600191,华资实业
30,SH603612,索通发展
31,SH600129,太极集团
32,SH600449,宁夏建材
33,SH603808,歌力思
34,SH603703,盛洋科技
35,SH600008,首创股份
36,SH600822,上海物贸
37,SH603721,中广天择
38,SH600203,福日电子
39,SH600027,华电国际
40,SH603169,兰石重装
41,SH600963,岳阳林纸
42,SH600409,三友化工
43,SH600563,法拉电子
44,SH603880,南卫股份
45,SH603035,常熟汽饰
46,SH600477,杭萧钢构
47,SH603987,康德莱
48,SH601018,宁波港
49,SH603323,苏农银行
50,SH600678,四川金顶
51,SH600105,永鼎股份
52,SH600300,维维股份
53,SH600770,综艺股份
54,SH603131,上海沪工
55,SH603626,科森科技
56,SH600353,旭光电子
57,SH603156,养元饮品
58,SH600648,外高桥
59,SH600323,瀚蓝环境
60,SH600704,物产中大
61,SH601992,金隅集团
62,SH603077,和邦生物
63,SH603988,中电电机
64,SH601069,西部黄金
65,SH600903,贵州燃气
66,SH603260,合盛硅业
67,SH603696,安记食品
68,SH601919,中远海控
69,SH600989,宝丰能源
70,SH603489,八方股份
71,SH600375,华菱星马
72,SH603185,上机数控
73,SH601958,金钼股份
74,SH600970,中材国际
75,SH600663,陆家嘴
76,SH600251,冠农股份
77,SH600830,香溢融通
78,SH601869,长飞光纤
79,SH603738,泰晶科技
80,SH600738,兰州民百
81,SH600929,湖南盐业
82,SH603630,拉芳家化
83,SH603638,艾迪精密
84,SH600063,皖维高新
85,SH600299,安迪苏
86,SH600165,新日恒力
87,SH603682,锦和商业
88,SH600764,中国海防
89,SH603617,君禾股份
0,SH600350,山东高速
1,SH600628,新世界
2,SH603577,汇金通
3,SH603299,苏盐井神
4,SH603608,天创时尚
5,SH603859,能科股份
6,SH600141,兴发集团
7,SH603313,梦百合
